Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"Redber Monsooned Malabar, Green Coffee Beans (1kg)",B00V2BSOEK,Redber,11.50,,0,264323,,1,4,2,2,0,Redber,Drinks,,MFN,,,7/16/2013
"Redber Decaffeinated Central American Blend, Green Coffee Beans (1kg)",B00UXL3AD0,Redber,13.80,,0,272668,4.76,1,5,2,1,0,Redber,Drinks,Large Oversize,MFN,0.0x0.0x0.0,2.27,7/16/2013
"Green Coffee Beans Ethiopia, Java, Honduras (Highland raw Coffee Beans, 3x500g Value Pack)",B00HNLW3Z4,Rohebohnen,19.90,,0,273939,,1,4,1,1,0,Coffeewell GmbH,Drinks,,MFN,,,1/11/2014
Guatemala SHB 100% Arabica Green Coffee Beans - Unroasted Raw - Single Origin: Perfect for Home Roasting (1kg),B086YW5KT3,Hand Roasted Coffee Warehouse,,,,275498,,1,3,4,3,0,,Drinks,,MFN,,,7/17/2018
Coffee World | Burundi Kayanza Single Origin Arabica Raw Unroasted Green Coffee Beans - for Coffee Roasters/Roasting (1.8KG),B08DG4HYC7,Coffee World,25.99,1,26,278086,6.89,1,,,1,0,ShopCoffeeUK,Drinks,Large Oversize,MFN,5.5x14.2x3.9,3.97,7/22/2020
SONNENTOR Organic Green Coffee Natual 18x3g (PACK OF 3),B00SMM31KY,Sonnentor,,,,281757,,1,4,80,1,0,,Drinks,Standard Parcel,MFN,3.3x4.9x2.8,0.18,3/10/2015
Coffee World | Guatemala SHB Huehuetenango (Roble) Single Origin Arabica Raw Unroasted Green Coffee Beans - for Coffee Roasters/Roasting (1.8KG),B08DG3L13K,Coffee World,25.99,,0,285082,6.89,1,2,2,1,0,ShopCoffeeUK,Drinks,Large Oversize,MFN,5.5x14.2x3.9,3.97,7/22/2020
Ethiopia Djimmah Mocha Raw Unroasted Green Coffee Beans Origin Specialty Arabica Home Roasting DIY Fast (1),B07PYXL9MK,Cafe Hormozi,9.85,,0,288208,,1,3,3,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Coffee World | Ethiopia Yirgacheffe Single Origin Arabica Raw Unroasted Green Coffee Beans - for Coffee Roasters/Roasting (1.8KG),B08DG47RSQ,Coffee World,31.99,,0,293672,7.80,1,,,1,0,ShopCoffeeUK,Drinks,Large Oversize,MFN,5.5x14.2x3.9,3.97,7/22/2020
Grind House Kenya Blue Mountain AA Green Coffee Beans for home roasting 400g,B00TCKOV6S,Grind House Speciality Roasters,,,,300012,,1,5,5,2,0,,Drinks,Large Oversize,,3.0x5.1x1.7,2.43,2/8/2015
"Redber Kenyan Bora, Green Coffee Beans (1kg)",B00V2AWYZG,Redber,12.00,,0,303592,,1,4,3,2,0,Redber,Drinks,,MFN,,,7/16/2013
"Green Coffee Beans Kenya, Colombia, Guatemala (Highland raw Coffee Beans, 3x500g Value Pack)",B00HNLW1ME,Rohebohnen,19.90,,0,310763,,1,4,2,1,0,Coffeewell GmbH,Drinks,,MFN,,,1/3/2014
Organic Green Coffee Beans - Arabica Brazil Santos 500g,B0102SFULS,Rohebohnen,8.90,,0,313975,,1,4,2,2,0,Coffeewell GmbH,Drinks,,MFN,,,6/21/2015
"Redber Old Brown Java, Green Coffee Beans (1kg)",B00V2CIMLO,Redber,,,,314050,,1,4,3,2,0,,Drinks,,MFN,,,7/16/2013
Peru Organic FairTrade Arabica Raw Green Coffee Beans 1kg,B013TGKY7A,EvoCoffee,,,,315690,,1,5,6,2,0,,Drinks,,,,,8/12/2015
Green Coffee Beans RAW Mexico El Selecto Home Roasting 250g 500g 1kg 4kg Arabica (1),B07PYXYS1B,Cafe Hormozi,11.34,,0,317563,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
1kg Green Coffee Beans | Sumatra Green Coffee Beans for Home Roasting | Raw Whole Unroasted Coffee Beans | 100% Arabica Coffee Beans,B01GBCRLIO,Brown Bottle Coffee Co,13.60,,0,319620,5.04,1,3,5,1,0,,Drinks,,MFN,,2.12,5/29/2016
Green Coffee Beans RAW India Cherry DIY Home Roasting 250g 500g 1kg 4kg ROBUSTA (1),B07PVPNWMT,Cafe Hormozi,9.10,,0,325330,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
250g Green Coffee Beans | El Salvador Finca Bosque Lya | Central American Raw Unroasted Green Coffee Beans | Home or Business Coffee Roasting | 100% Arabica Specialty Grade Raw Coffee Beans,B08T5ZNN9H,Rounton Coffee,8.00,,0,328903,,1,3,1,4,0,Rounton Coffee,Drinks,,MFN,,,1/15/2021
Congo Kivu Raw Unroasted Green Coffee Beans Origin Specialty Arabica Home Roasting DIY Fast (1),B07PWMDDLX,Cafe Hormozi,12.35,,0,332073,,1,5,1,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Green Coffee Beans RAW Guatemala Home Roasting 250g 500g 1kg 4kg Arabica (1),B07PYVV1S9,Cafe Hormozi,10.85,,0,344116,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Grind House Ethiopia Mocha Djimmah Green Coffee Beans for home roasting 400g,B00TCL82NK,Grind House Speciality Roasters,,,,347557,,1,5,5,2,0,,Drinks,Large Oversize,,3.0x5.1x1.7,2.43,2/8/2015
"Green Coffee Beans Sumatra, Costa Rica, Brazil (Highland raw Coffee Beans, 3x500g Value Pack)",B00HNLVZR6,Rohebohnen,19.90,,0,347899,,1,,,1,0,Coffeewell GmbH,Drinks,,MFN,,,1/3/2014
Colombia Supremo Raw Unroasted Green Coffee Beans Origin Specialty Arabica Home Roasting DIY Fast (1),B07PYSMJR5,Cafe Hormozi,9.85,,0,356353,,1,5,1,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Green Coffee Beans RAW Ethiopia Djimmah Home Roasting Arabica 10kg 30kg 60kg UK (10),B07PZTZGC2,Cafe Hormozi,70.35,,0,356538,,1,5,1,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Decaf Green Coffee Arabica Brasil Guaxupe (raw Coffee Beans Without Caffeine 500g),B00LZXXP7G,Rohebohnen,8.50,,0,373691,,1,,,1,0,Coffeewell GmbH,Drinks,,MFN,,,6/22/2015
Organic Green Coffee Beans Sumatra Gayo (Highland raw Coffee Beans 500g),B00HLQC3HE,Rohebohnen,8.90,,0,376567,,1,,,2,0,Coffeewell GmbH,Drinks,,MFN,,,1/11/2014
Coffee World | Brazil Guima Single Origin Arabica Raw Unroasted Green Coffee Beans - for Coffee Roasters/Roasting (1.8KG),B08DG45Z6J,Coffee World,35.99,,0,381146,8.42,1,,,1,0,ShopCoffeeUK,Drinks,Large Oversize,MFN,5.5x14.2x3.9,3.97,7/22/2020
Ethiopian Sidamo G2 Green Coffee Beans (1.9kg),B07C85FV33,ATITA coffee,19.50,,0,382777,,1,5,1,1,0,,Drinks,,,,,4/16/2018
Organic Green Coffee Beans - Arabica Mexico Flamingo 500g,B0102SG0A8,Rohebohnen,,,,385843,,1,5,1,2,0,,Drinks,,,,,6/21/2015
Blue Mountain Siblings Yunnan Baoshan Arabica Green Coffee Beans Iron Pickup AA Coffee Green Beans,B0826MTC6H,Gaoshantangchu,23.32,,0,390131,,1,,,3,0,Chinese wild mushroom,Drinks,,MFN,,,12/1/2019
CO2 Decaf Raw Unroasted Green Coffee Beans Origin Specialty Arabica Home Roasting DIY Fast (1),B07PYXZPX4,Cafe Hormozi,18.35,,0,391229,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Green Coffee Beans Raw Nicaragua Home Roasting 250g 500g 1kg 4kg Arabica New UK (1),B07PZVWFN2,Cafe Hormozi,9.85,,0,398929,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Grind House Brazil Santos Green Coffee Beans for home roasting 400g,B00TCKDNVM,Grind House Speciality Roasters,,,,414517,,1,5,1,2,0,,Drinks,Large Oversize,,3.0x5.1x1.7,2.43,2/8/2015
India Cherry (Robusta) Raw Unroasted Green Coffee Beans Origin Specialty Home Roasting DIY Fast (1),B07PWMNP8G,Cafe Hormozi,8.85,,0,421143,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
"Ethiopian (Gera 1) Heirloom Green Coffee Beans, unroasted (1kg)",B07HD83KGV,ASC green beans,,,,424436,,1,4,1,3,0,,Drinks,,MFN,,,9/14/2018
"Green Coffee Beans Costa Rica Tarrazu (Highland raw Coffee Beans, unroasted 500g)",B00HLQCAA4,Rohebohnen,8.50,,0,430321,,1,5,1,1,0,Coffeewell GmbH,Drinks,,MFN,,,12/30/2013
Grind House Colombian Supremo Green Coffee Beans for home roasting 400g,B00TCL0FC6,Grind House Speciality Roasters,,,,431399,,1,,,1,0,,Drinks,Large Oversize,,3.0x5.1x1.7,2.43,2/8/2015
Grind House Old Brown Java Green Coffee Beans for home roasting 400g,B00TCL4JI2,Grind House Speciality Roasters,,,,438415,,1,5,1,2,0,,Drinks,Large Oversize,,3.0x5.1x1.7,2.43,2/8/2015
Uganda Robusta Raw Unroasted Green Coffee Beans Origin Specialty Arabica Home Roasting DIY Fast (1),B07PZYDD89,Cafe Hormozi,14.35,,0,443898,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Green Coffee Beans Kenya Josra (Highland raw Coffee Beans 500g),B00HLQC0B8,Rohebohnen,8.90,,0,446091,,1,5,1,1,0,Coffeewell GmbH,Drinks,,MFN,,,12/30/2013
Brazil Santos Arabica Raw Green Coffee Beans Home Roasting 1kg,B013T3HXYK,EvoCoffee,,,,449033,,1,3,2,2,0,,Drinks,,,,,8/12/2015
Colombia Supremo Arabica Green Raw Coffee Beans Home Roasting 1kg,B013TH3AOI,EvoCoffee,,,,454456,,1,,,2,0,,Drinks,,,,,8/12/2015
Colombian Excelso Green Coffee Beans - Unroasted - Perfect for Home Roasting (10kg),B07HB54PBF,ASC green beans,,,,461239,,1,,,1,0,,Drinks,,,,22.05,9/12/2018
Green Coffee Beans RAW Honduras Budget Home Roasting Arabica 10kg 30kg 60kg Bulk Order (10),B07NJ31CGK,Cafe Hormozi,71.35,,0,461562,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Indonesia Lington Raw Unroasted Green Coffee Beans Origin Specialty Arabica Home Roasting DIY Fast (1),B07PYXP2ST,Cafe Hormozi,19.90,,0,466488,,1,,,9,0,Cafe Hormozi,Drinks,,MFN,,,3/10/2019
Nicaragua Las Morenitas Organic FairTrade Arabica Raw Green Coffee Beans 1kg,B013TG51UK,EvoCoffee,,,,487452,,1,,,2,0,,Drinks,,,,,8/12/2015
Colombia Suarez District Green Coffee Beans - Unroasted - Perfect for Home Roasting (1kg),B07HCSFRT9,ASC green beans,,,,496567,,1,5,1,1,0,,Drinks,,,,,9/14/2018
Indian Monsoon Malabar Arabica Raw Green Coffee Beans Home Roasting 1kg,B013TDFDHE,EvoCoffee,,,,496747,,1,5,1,2,0,,Drinks,,,,,8/12/2015
"Lindt Lindor Milk Chocolate Truffles Box - The Ideal Gift - Chocolate Balls with a Smooth Melting Filling, 200 g",B00NW479QO,Lindt,3.50,13466,47131,3,2.62,30,5,44069,12,868,Amazon,Food Cupboard,Small Oversize,AMZ,4.2x6.3x3.1,0.51,9/26/2014
"Tassimo Kenco Americano Grande Coffee Pods (Pack of 5, Total 80 Coffee Capsules)",B016DEGFWI,Tassimo,14.87,13492,200626,2,5.19,11,5,28800,5,466,Amazon,Fresh & Chilled,Large Oversize,AMZ,6.8x15.5x6.2,3.26,8/4/2010
"Grenade Carb Killa High Protein and Low Carb Bar, 12 x 60 g - A Selection Box",B07DDYDP57,Grenade,20.00,22586,451720,1,5.56,17,5,21466,14,77,Amazon,Health & Personal Care,Large Oversize,AMZ,6.0x7.3x2.2,1.74,5/30/2018
"Ferrero Rocher Chocolate Hamper Christmas Gifts Set Sweets Hazelnut and Milk Chocolate Pralines, 200g, Pack of 16",B0177IQTXO,Ferrero,3.75,2668,10005,7,2.64,2,5,29424,14,946,Amazon,Food Cupboard,Large Oversize,AMZ,3.0x5.6x2.8,0.57,11/12/2015
Lindt Milk Advent Calendar 160g - A selection of 24 finest Lindt Milk chocolates for a festive and magical countdown until Christmas,B00654DUJI,Lindt,5.00,15683,78415,1,2.74,130,5,3573,11,142,Amazon,Food Cupboard,Large Oversize,AMZ,10.7x13.6x1.5,0.64,1/24/2011
Lindt Teddy Adorable Milk Advent Calendar 250g - A selection of 24 finest Lindt Milk chocolates for a festive and magical countdown until Christmas,B0152SYV40,Lindt,9.50,11081,105270,15,3.28,135,5,5119,9,103,,Food Cupboard,Large Oversize,AMZ,10.8x13.7x2.7,0.95,9/23/2014
"Pukka Herbs 2021 Tea Advent Calendar, The Perfect Non-Chocolate Christmas Countdown for Tea Lovers, 24 Sachets of Organic Herbal Tea",B08F8QHLV3,Pukka Herbs,7.59,12519,95019,16,2.27,6,5,3042,11,214,,Grocery,Small Oversize,AMZ,7.6x9.9x0.8,0.37,7/29/2020
"Ferrero Collection Chocolate Hamper Christmas Gifts Set, Assorted Dark, Milk, Chocolate and Coconut, and Almond, 6 Packs of 15 Chocolates, 90 Total",B01AXFSVJ8,Ferrero,27.00,4922,132894,21,9.02,4,5,14481,5,655,Amazon,Food Cupboard,Large Oversize,AMZ,8.3x14.0x6.3,4.87,1/11/2016
Cadbury Dairy Milk Chocolate Gift Bar 850g,B0714LLB2T,Cadbury,8.49,11293,95878,41,3.19,16,5,19832,5,336,Amazon,Food Cupboard,Large Oversize,AMZ,6.6x16.6x0.7,1.98,9/15/2015
Chocolate Lovers Hamper Cosmic Box - Selection of Your Favourite Chocolate Bars,B086QRCZ5B,A-Z Sweetshop,11.35,6194,70302,39,4.24,1,5,3514,8,69,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,9.0x13.1x1.3,1.74,2/18/2020
"M&M's Peanut Chocolate Party Bulk Bag, Christmas Chocolate Gift, Stocking Fillers, 1 kg",B00DGL2GC0,M&M's,6.00,2748,16488,52,3.15,51,5,17854,8,551,Amazon,Food Cupboard,Large Oversize,AMZ,7.3x8.5x2.2,2.23,2/9/2014
Retro Sweets Gift Box: Just Treats Cosmic Gift Box: Jam Packed with The Retro Sweets,B00OQ1P4IC,A-Z Sweetshop,9.97,5048,50329,51,3.02,1,5,7041,9,31,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,9.0x13.0x1.4,1.68,10/21/2014
"Smiths Savoury Snacks Bacon Fries Carded Pub Favourites Snacks, 24 g (Pack of 24) (Packaging May Vary)",B07F579FBJ,Smiths,10.79,10606,114439,54,4.15,19,5,13235,8,272,,Food Cupboard,Large Oversize,AMZ,12.8x14.6x3.0,1.65,6/29/2010
"Candy Kittens Vegan Sweets, Sour Watermelon, 54g",B07T3XG2ZX,CANDY KITTENS,1.00,10480,10480,63,2.34,6,5,11182,7,308,Amazon,Food Cupboard,Standard Parcel,AMZ,3.7x5.3x0.9,0.11,6/6/2019
Happy Anniversary for Coffee Lovers - Gift Set with 5 Unique Coffee Bags with Premium & Organic Ground Coffee from Around The World | Hamper Style Letterbox Present,B08HS8QJML,GROWER'S CUP,9.95,12891,128265,61,,1,5,5021,8,245,The Brew Company,Hampers & Gourmet Gifts,,MFN,,,9/7/2020
"Nestlé KITKAT Festive Friends Xmas Variety Pack, Milk Chocolate Figures with tasty filling, approximately 100 figures with 10 different characters",B09B7Z9KG5,Nestlé,17.33,1277,22130,59,5.31,1,5,24,7,0,,Food Cupboard,Large Oversize,AMZ,7.8x11.5x3.6,2.29,7/27/2021
LINDOR Advent Calendar Milk 300g - Assortment with an irresistibly smooth filling for a festive and magical countdown until Christmas,B07GFCQVZ5,Lindt,9.50,8008,76076,77,3.28,61,5,1472,7,27,Amazon,Grocery,Large Oversize,AMZ,10.6x13.6x1.4,0.97,8/13/2018
"Fulfil Vitamin and Protein Bar, Chocolate Brownie, 15 x 40g",B084GXZ9LK,Fulfil,23.77,12733,302663,53,6.14,5,5,3278,7,151,Amazon,Health & Personal Care,Large Oversize,AMZ,5.0x8.5x2.6,1.50,2/3/2020
Retro Sweets Mini Box | Letterbox Size Box Filled with Retro Sweets,B096ZSW6L1,Just Treats,3.74,4822,18034,73,2.52,1,4,128,6,35,CB UK LTD,Hampers & Gourmet Gifts,Small Oversize,FBA,6.7x9.6x1.1,0.40,6/10/2021
Chocolate Lovers Ultimate Hamper Lunar Box - Huge Selection of Your Favourite Chocolate Bars,B084WQJ5G7,A-Z Sweetshop,21.50,4635,99653,72,6.20,1,5,2899,6,0,CB UK LTD,Hampers & Gourmet Gifts,Large Oversize,FBA,8.9x13.0x1.9,3.13,2/18/2020
"Green & Black's Organic Tasting Collection Chocolate Bars, 395g",B00A48154S,Green & Black's,9.20,3510,32292,316,,14,5,7969,12,1339,Amazon,Food Cupboard,Large Oversize,AMZ,8.8x9.1x1.5,1.21,9/20/2011
"cadbury Heroes Chocolate Bulk Sharing Box, 2 kg",B095SZJGWH,Cadbury,20.69,10722,221838,83,7.31,11,5,2318,5,310,Amazon,Food Cupboard,Large Oversize,AMZ,7.9x11.5x5.0,4.89,5/19/2021
"Celebrations Chocolate Bulk Box, Christmas Chocolate Gift, Stocking Fillers, (Maltesers, Galaxy, Snickers and More), 2.4kg",B07318ZZLL,Celebrations,19.99,10280,205497,88,7.20,36,5,13902,9,213,,Food Cupboard,Large Oversize,AMZ,8.3x10.5x7.0,5.93,6/20/2017
"PhD Smart Bar, High Protein Low sugar chocolate coated snack (Variety box), 12 Bars",B07TNJHJ9T,PhD,18.95,7406,140344,68,5.40,4,5,4646,18,92,PHD Nutrition & SIS,Health & Personal Care,Large Oversize,MFN,5.9x7.6x3.1,1.85,6/26/2019
Cadbury Dairy Milk Chocolate Gift Bar 850 g,B07CX14HPC,Cadbury,5.90,11264,66458,89,4.51,13,5,10940,6,363,,Food Cupboard,Large Oversize,MFN,6.7x17.7x0.8,2.43,8/23/2018
"Lindt Lindor Milk Chocolate Truffles Box, 600g",B0756W5PY9,Lindt,9.79,9296,91008,90,3.30,21,5,8144,11,142,Amazon,Food Cupboard,Large Oversize,AMZ,5.7x9.4x2.7,1.46,2/3/2017
"The Jelly Bean Factory Huge Flavours, 1.4Kg",B0049ORRNQ,The Jelly Bean Factory,15.75,10174,160241,95,4.98,29,5,21146,16,440,,Food Cupboard,Large Oversize,AMZ,4.7x5.9x4.7,3.37,6/29/2011
"Lindt Lindor Milk Chocolate Truffles, 26 each, 337g",B0812562RR,Lindt,5.50,9364,51502,95,2.78,18,5,9401,11,173,Amazon,Food Cupboard,Large Oversize,AMZ,5.2x8.0x2.7,0.84,9/23/2015
"Candy Kittens Tropical Mango Vegan Sweets - Palm Oil Free, Natural Fruit Flavour Candy - Gummy Chewy Gourmet Sweets, 54g (Pop Bag)",B07YPJ1P16,CANDY KITTENS,1.00,8783,8783,104,1.59,5,5,8622,6,247,Amazon,Food Cupboard,Standard Parcel,AMZ,3.7x5.3x1.5,0.13,10/3/2019
"Maltesers Chocolate Gift Box, Christmas Chocolate Gift, Stocking Fillers, Sharing Pack, 110g",B07YSHHNRW,Maltesers,1.50,8594,12891,108,2.33,18,5,6517,6,163,Amazon,Food Cupboard,Small Oversize,AMZ,3.5x5.8x1.6,0.29,11/19/2019
"Cadbury Dairy Milk Orange Giant Buttons Chocolate Bag, 95g",B08QWG92YM,Cadbury,0.86,7269,6251,105,2.27,8,5,125,1,73,Amazon,Food Cupboard,Standard Parcel,AMZ,4.4x6.1x1.5,0.20,12/17/2020
"Thorntons Chocolate Classic Chocolate Hamper Christmas Gifts Set, Assorted White, Milk and Dark Chocolates Box, 449 g",B07WV5V488,Thorntons,6.00,1584,9504,97,2.99,23,5,1583,5,0,Amazon,Food Cupboard,Large Oversize,AMZ,10.6x13.2x1.3,1.32,8/8/2019
Haribo Advent Calendar Christmas Sweets Gift 2021,B09FG28C5T,HARIBO,5.00,3988,19940,94,2.91,72,5,37,4,18,,Food Cupboard,Large Oversize,AMZ,10.9x17.0x1.1,1.08,9/2/2021
Pot Noodle Curry Lost The Pot 92 gr (Pack of 16),B08ZTFG5Q1,Pot Noodle,8.00,7883,63064,158,3.56,4,5,5210,2,266,Amazon,Food Cupboard,Large Oversize,AMZ,7.7x11.7x5.6,3.70,3/22/2021
"NESTLE The Big Biscuit Box, Chocolate Biscuit Bars x71",B07LD4HWCX,Nestlé,17.98,9084,163330,129,5.66,24,5,21861,9,306,Amazon,Food Cupboard,Large Oversize,AMZ,9.1x11.9x3.6,3.64,12/14/2018
"OATLY Oat Drink Barista Edition, Pack of 6",B01CJXO4LQ,OATLY,12.49,10142,126674,162,7.19,17,5,5007,4,85,,Fresh & Chilled,Large Oversize,MFN,10.4x13.6x9.2,14.75,2/28/2016
Ilchester Cheese Advent Calendar - 24 Individually Wrapped Cheese - The World's First & Only Cheese Advent,B07XZ2QLC6,Norseland,12.99,6161,80031,148,3.03,15,4,1650,2,27,Compri,Hampers & Gourmet Gifts,Large Oversize,MFN,8.7x12.9x1.8,1.55,9/16/2019
"Skittles Giants, Chewy Fruit Sweets Pouch, 141 g",B086CD6B5G,Skittles,1.00,4771,4771,136,,16,5,5114,5,0,Amazon,Food Cupboard,Small Oversize,AMZ,4.7x6.6x1.7,0.33,6/17/2020
Bumper Retro Sweets Gift Box - New and Improved Version of The Bestselling Sweet Hamper with an Even Bigger Old Fashioned Sweetshop Selection,B08DFYG3ZD,A Quarter Of Retro Sweets,9.95,6333,63013,115,3.02,3,5,3056,7,81,A Quarter Of UK,Hampers & Gourmet Gifts,Large Oversize,FBA,7.2x9.9x2.0,1.48,7/22/2020
"Galaxy Salted Caramel Chocolate Bars Bulk Box, Chocolate Gifts, 24 Bars of 48 g",B0751MHDRC,GALAXY,13.46,7472,100573,148,4.72,12,5,7865,8,208,Amazon,Food Cupboard,Large Oversize,AMZ,5.5x7.2x3.5,2.82,8/21/2017
"Nestle Quality Street Tin, 2kg",B07VHDH4HT,Nestlé,12.28,4037,49574,125,6.02,70,5,2357,5,31,,Food Cupboard,Large Oversize,AMZ,8.9x8.9x5.4,5.22,7/22/2019
Toblerone Mixed Chocolate 5 Bar Gift Pack 500 g,B07GCJ1VCT,TOBLERONE,7.50,4382,32865,153,2.82,25,5,5149,7,179,Amazon,Food Cupboard,Large Oversize,AMZ,4.7x8.5x1.3,1.21,7/31/2018
After Eight Dark Mint Chocolate Carton Box 300g,B003TCPTIY,After Eight,2.00,7189,14378,152,2.49,24,5,5566,11,169,Amazon,Food Cupboard,Large Oversize,AMZ,2.4x7.6x2.3,0.71,6/19/2010
"Cadbury Dairy Milk Chocolate Bar, 95 g",B081F3223F,Cadbury,2.95,8681,25609,137,1.90,3,5,6439,5,216,,Food Cupboard,Standard Parcel,MFN,2.6x7.1x0.4,0.20,11/13/2019
"Candy Kittens Christmas Advent Calendar Tree 2021 – Palm-Oil Free Vegan Gourmet Gummy Sweets with Fruit Juice & Natural Flavours, 298g",B09FFLXSR5,CANDY KITTENS,12.00,4974,59688,147,4.17,4,4,54,6,20,,Food Cupboard,Large Oversize,AMZ,8.1x14.5x1.7,1.04,9/3/2021
"Lindt Lindor Milk Chocolate Truffles Bag - approx. 80 Balls, 1 kg - Perfect for Sharing - Chocolate Balls with a Smooth Melting Filling",B00FYU60XW,Lindt,17.50,5665,99138,145,5.34,8,5,11865,9,62,Amazon,Food Cupboard,Large Oversize,AMZ,8.2x13.9x3.5,2.29,2/2/2014
"Lindt Lindor Milk Bar, 100g",B003U43CAS,Lindt,1.50,8158,12237,156,1.78,12,5,10997,10,197,Amazon,Food Cupboard,Small Oversize,AMZ,3.0x6.3x0.4,0.24,6/19/2010
"Mars, Snickers, Twix & More Assorted Fun Size Chocolate Bars, Christmas Chocolate Gift, 1.4kg, Stocking Fillers, 71 Bars",B086TG1RGQ,Mars,10.19,6977,71096,147,4.47,31,5,6806,5,120,,Food Cupboard,Large Oversize,AMZ,8.6x10.8x3.6,3.26,4/1/2020
100% Natural Erythritol 1 Kg (2.2 lb) Granulated ZERO Calorie Sugar Replacement,B01BDTLL7W,NKD Living,7.99,8222,65694,161,3.31,10,5,14443,8,253,Nkd Living Ltd,Food Cupboard,Large Oversize,FBA,8.0x10.3x2.6,2.25,2/11/2016
"Heinz Beanz, 2.62 kg (Pack of 2)",B001ELL5EO,HEINZ,7.38,3755,27712,174,5.72,7,5,4283,8,114,,Food Cupboard,Large Oversize,AMZ,7.3x14.2x4.9,12.85,12/27/2019
McVitie's Biscuit Barrel Box 5 Pack Biscuits 1450 g,B087S3Q8QB,McVitie's,4.00,8782,35128,161,3.24,10,5,3943,1,289,Amazon,Food Cupboard,Large Oversize,AMZ,7.9x9.9x5.2,3.64,4/27/2020
Lindt EXCELLENCE Dark 70% Cocoa Chocolate Bar - 100 g,B00A8DM8N6,Lindt,1.79,7830,14016,189,1.81,16,5,5632,7,138,Amazon,Food Cupboard,Small Oversize,AMZ,3.5x7.5x0.4,0.24,11/15/2012
Cadbury Dairy Milk Caramel 4 Chocolate Bar (Pack of 15),B01M9F5MOY,Cadbury,14.70,,,,6.39,1,5,1758,6,183,Amazon,Food Cupboard,Large Oversize,AMZ,7.5x8.7x5.2,5.25,1/1/2020
Hotel Chocolat - Everything Sleekster,B098PXFW3Z,Hotel Chocolat,23.50,6301,148074,144,6.10,6,5,33,4,18,,Food Cupboard,Large Oversize,AMZ,6.1x16.5x1.5,1.28,7/5/2021
"Nakd Almond Macaroon Natural Fruit & Nut Bars - Vegan - Gluten Free - Healthy Snack, 35 g & Salted Caramel Natural Snack Bars - Vegan Bars - Healthy Snack - Gluten Free Bars 35 g (Pack of 18)",B09GK943F5,Nakd,22.24,6158,136954,216,,1,5,4058,7,62,,Food Cupboard,,AMZ,,,9/17/2021
"Monin Vanilla Syrup, 1L",B004FNDMT4,Monin,9.35,8524,79699,155,3.42,18,5,5274,7,152,,Drinks,Large Oversize,AMZ,3.0x13.0x3.0,3.02,12/8/2010
"Extra White Chewing Gum, Sugar Free, Bubblemint, 30 Packs of 10 Pieces",B017BSXROO,Extra,10.00,6670,66700,195,3.03,24,5,793,8,36,Amazon,Food Cupboard,Large Oversize,AMZ,6.4x9.5x1.2,1.10,11/12/2015
"Monty Bojangles Advent Calendar of Cocoa Dusted Chocolate Truffles | 7 Flavour Assortment of 29 Chocolates, 250g",B07QQFWZRD,Monty Bojangles,15.99,5150,82349,157,4.32,11,5,710,7,28,PITSTOP DEALS,Food Cupboard,Large Oversize,FBA,10.6x13.5x1.4,0.82,9/3/2019
"Walkers Smoky Bacon Crisps Box, 32.5 g (Case of 32)",B01CV2SFSI,Walkers,22.08,6098,134644,189,6.04,4,5,6124,12,245,,Food Cupboard,Large Oversize,AMZ,11.8x15.9x8.9,2.95,5/21/2013
"Lindt Mini Snowmen Milk Chocolate Figures, 50g",B01KI2M0MK,Lindt,5.99,1505,9015,196,2.04,13,4,395,4,1,PVL Trade,Food Cupboard,Standard Envelope,FBA,0.7x8.4x0.4,0.09,8/8/2016
LINDOR Milk Mini Advent Calendar 109g - Mini truffles with an irresistibly smooth filling for a festive and magical countdown until Christmas,B08FS9KY9R,Lindt,4.00,6706,26824,192,2.54,59,4,942,7,26,,Food Cupboard,Small Oversize,AMZ,7.5x7.6x1.0,0.35,8/11/2020
"Tony's Chocolonely Milk Chocolate Bar, 180g",B07P14PRSH,Tony's Chocolonely,3.00,5285,15855,190,1.90,20,5,5714,6,129,Amazon,Food Cupboard,Small Oversize,AMZ,3.3x6.4x0.7,0.40,2/11/2017
